meal plan,car parking space,room type,lead time,repeated,average price,special requests,booking status,market segment type_Complementary,market segment type_Corporate,market segment type_Offline,market segment type_Online,year,month,day,total nights,total people
1,0,4,2,0,110.0,0,1,False,False,False,False,2018,5,19,2,1
1,0,1,37,0,37.33,0,1,False,False,False,True,2017,11,6,3,1
2,0,1,56,0,82.0,0,0,False,False,True,False,2017,9,17,2,2
1,0,4,3,0,177.5,1,0,False,False,False,True,2017,9,19,2,2
1,0,1,107,0,87.5,1,0,False,False,False,True,2018,11,13,4,2
0,0,1,2,0,69.5,1,0,False,False,False,True,2018,1,9,1,2
1,0,1,72,0,85.5,0,0,False,False,True,False,2018,10,7,2,2
0,1,1,23,0,115.0,1,0,False,False,False,True,2018,4,27,1,2
1,0,1,34,0,81.0,0,1,False,False,False,True,2018,6,19,3,1
1,0,1,289,0,67.0,0,0,False,False,True,False,2017,10,17,1,2
0,0,1,247,0,63.75,0,1,False,False,False,True,2018,11,19,5,2
1,0,4,186,0,121.8,1,1,False,False,False,True,2018,7,30,3,2
1,0,1,64,0,93.6,2,0,False,False,False,True,2018,11,1,4,2
1,0,1,35,0,102.0,1,0,False,False,False,True,2018,6,21,2,2
1,0,1,96,0,121.8,1,0,False,False,False,True,2018,4,10,3,3
0,0,1,41,0,98.1,1,1,False,False,False,True,2018,6,27,2,2
1,0,4,55,0,60.0,1,0,False,False,True,False,2017,11,18,4,2
1,0,1,146,0,75.0,0,0,False,False,True,False,2017,12,29,3,2
1,0,1,32,0,73.0,0,0,False,False,True,False,2017,11,20,2,1
2,0,1,55,0,104.0,0,0,False,False,True,False,2018,4,6,1,2
0,0,1,57,0,79.2,1,0,False,False,False,True,2018,11,1,4,2
1,0,4,7,0,125.8,2,0,False,False,False,True,2018,12,29,4,1
0,0,1,124,0,87.95,0,0,False,False,False,True,2018,5,30,7,1
2,0,1,169,0,106.0,0,1,False,False,False,True,2018,4,22,4,2
1,0,1,6,0,136.67,1,0,False,False,False,True,2018,5,16,3,1
1,0,4,51,0,60.0,1,0,False,False,True,False,2017,11,11,4,2
0,0,1,13,0,89.0,2,0,False,False,False,True,2018,6,13,1,2
1,0,1,100,0,136.0,1,0,False,False,False,True,2018,5,19,4,2
0,0,1,139,0,94.5,1,0,False,False,False,True,2018,7,28,1,2
1,0,1,117,0,93.6,2,0,False,False,False,True,2018,12,26,3,2
1,0,4,39,0,120.6,0,1,False,False,False,True,2018,4,20,5,2
1,0,4,86,0,99.3,1,0,False,False,False,True,2018,4,6,3,2
1,0,4,19,0,120.12,2,0,False,False,False,True,2018,5,3,3,1
1,0,1,192,0,95.0,0,0,False,False,True,False,2018,6,24,2,1
1,0,1,86,0,75.0,0,0,False,False,True,False,2018,12,18,3,2
1,0,4,30,0,157.5,2,0,False,False,False,True,2018,10,5,3,2
1,0,4,179,0,97.7,1,0,False,False,False,True,2018,6,3,2,2
1,0,4,26,0,142.0,0,1,False,False,False,True,2018,4,15,2,2
1,0,1,55,0,80.0,0,0,False,False,True,False,2018,4,6,1,2
1,0,1,74,0,85.5,1,0,False,False,False,True,2018,4,25,3,2
1,0,1,143,0,100.0,0,0,False,False,True,False,2018,8,25,3,2
0,0,1,34,0,88.0,2,0,False,False,False,True,2018,11,14,1,2
1,1,1,30,0,122.85,1,0,False,False,False,True,2018,8,29,2,2
1,0,1,177,0,100.0,0,1,False,False,False,True,2018,6,3,2,2
1,0,4,34,0,75.0,0,0,False,False,True,False,2017,10,25,5,2
1,0,4,18,0,116.8,1,0,False,False,False,True,2018,3,9,5,2
1,0,4,267,0,121.5,0,0,False,False,False,True,2018,12,31,2,3
1,0,1,64,0,111.9,1,0,False,False,False,True,2018,6,27,3,2
1,0,4,155,0,121.55,2,1,False,False,False,True,2018,6,28,7,3
1,0,1,46,0,75.0,1,0,False,False,True,False,2018,3,29,5,2
1,0,6,83,0,159.3,0,1,False,False,False,True,2018,4,1,2,4
1,0,4,128,0,132.3,0,1,False,False,False,True,2018,10,11,5,2
0,0,1,20,0,88.0,2,0,False,False,False,True,2018,12,25,2,2
1,0,4,40,0,98.82,0,0,False,False,False,True,2018,3,14,5,2
1,1,4,46,0,98.3,1,0,False,False,False,True,2018,3,4,3,2
1,0,1,1,0,150.0,2,0,False,False,False,True,2018,10,17,1,1
0,0,1,196,0,96.05,1,0,False,False,False,True,2018,9,4,5,2
1,0,1,188,0,130.0,0,1,False,False,False,True,2018,6,15,2,1
0,0,1,17,1,95.0,0,0,False,False,False,True,2018,12,10,1,2
1,0,5,146,0,113.56,0,0,False,False,True,False,2018,8,9,3,2
0,0,1,110,0,101.58,1,0,False,False,False,True,2018,5,5,4,2
1,1,1,68,0,105.3,0,0,False,False,False,True,2018,3,18,3,2
1,0,4,73,0,115.8,1,0,False,False,False,True,2018,4,9,3,2
1,0,4,92,0,149.4,1,0,False,False,False,True,2018,5,19,1,2
1,0,1,171,0,111.59,0,1,False,False,False,True,2018,8,30,7,2
1,1,1,134,0,130.5,2,0,False,False,False,True,2018,8,4,2,3
1,0,1,118,0,90.95,1,0,False,False,False,True,2018,4,13,4,2
1,0,1,30,0,76.08,1,0,False,False,False,True,2018,11,17,3,2
1,0,6,30,0,156.9,0,0,False,False,False,True,2018,12,22,4,4
0,0,1,189,0,85.5,2,0,False,False,False,True,2018,10,23,1,2
1,0,4,55,0,159.3,2,0,False,False,False,True,2018,5,13,3,3
1,0,1,55,0,74.8,2,0,False,False,False,True,2018,12,13,4,1
1,0,1,16,0,95.0,1,0,False,False,False,True,2017,10,31,1,2
1,0,1,24,0,107.0,1,0,False,False,False,True,2017,10,8,3,2
1,0,1,8,0,64.0,0,0,False,False,True,False,2018,2,16,3,2
1,1,1,10,0,82.95,0,0,False,False,False,True,2017,11,2,5,2
1,0,4,0,0,155.0,1,0,False,False,False,True,2017,9,21,4,2
0,0,1,12,0,101.68,1,0,False,False,False,True,2018,6,30,1,2
1,0,1,32,0,94.5,3,0,False,False,False,True,2017,9,5,3,2
1,0,1,182,0,117.9,2,1,False,False,False,True,2018,9,30,2,2
0,0,1,1,0,127.0,1,0,False,False,False,True,2018,6,27,1,2
0,0,1,122,0,116.1,2,0,False,False,False,True,2018,6,16,3,2
1,0,1,40,0,117.9,1,0,False,False,False,True,2018,6,30,5,2
1,1,4,123,0,155.7,1,0,False,False,False,True,2018,8,13,4,3
1,0,4,40,0,135.76,0,1,False,False,False,True,2018,4,22,7,3
1,0,1,105,0,102.83,3,0,False,False,False,True,2018,11,12,7,3
1,0,1,2,0,103.0,1,0,False,False,False,True,2017,11,14,5,2
2,0,1,286,0,58.5,0,0,False,False,True,False,2018,9,16,2,2
1,0,1,68,0,73.95,0,1,False,False,False,True,2018,3,10,4,2
1,0,1,148,0,105.3,0,0,False,False,False,True,2018,5,5,3,2
1,0,4,68,0,133.2,2,0,False,False,False,True,2018,4,24,2,3
1,0,1,30,0,85.5,0,0,False,False,True,False,2018,3,30,2,2
1,0,1,14,0,112.0,1,1,False,False,False,True,2018,11,3,1,1
1,0,1,117,0,110.0,0,0,False,False,True,False,2018,6,5,5,1
1,0,4,85,0,91.48,1,0,False,False,False,True,2018,7,13,5,2
0,0,1,1,0,135.0,2,0,False,False,False,True,2018,10,20,2,2
1,0,1,25,0,129.0,2,0,False,False,False,True,2018,10,17,3,1
0,0,1,289,0,70.55,2,1,False,False,False,True,2018,12,28,6,2
1,0,4,28,0,75.0,0,0,False,False,True,False,2017,10,19,5,2
0,0,1,80,0,72.25,0,0,False,False,False,True,2018,3,29,4,1
1,0,4,11,0,155.0,2,0,False,False,False,True,2017,10,9,1,2
1,0,1,162,0,121.5,2,1,False,False,False,True,2018,7,25,1,3
1,0,1,155,0,90.95,2,0,False,False,False,True,2018,6,28,7,2
1,0,1,82,0,109.65,0,0,False,False,False,True,2018,5,22,4,1
1,0,4,27,0,142.72,0,1,False,False,False,True,2018,4,15,6,3
1,0,1,13,0,90.0,0,0,False,False,True,False,2018,5,9,3,1
1,0,1,245,0,75.0,0,1,False,False,False,True,2018,6,17,2,2
1,0,1,11,0,111.0,1,1,False,False,False,True,2018,11,18,2,2
1,0,1,266,0,86.7,2,0,False,False,False,True,2018,10,30,4,2
1,0,1,39,0,117.9,1,0,False,False,False,True,2018,3,28,1,2
0,0,1,112,0,101.58,1,0,False,False,False,True,2018,5,4,4,2
0,0,1,88,0,58.9,1,0,False,False,False,True,2018,4,8,3,2
1,0,1,56,0,120.0,0,0,False,False,True,False,2018,6,8,1,2
1,0,4,73,0,107.1,0,1,False,False,False,True,2018,4,7,5,2
1,0,1,80,0,126.9,1,0,False,False,False,True,2018,5,2,2,2
1,0,4,130,0,139.5,2,1,False,False,False,True,2018,9,29,3,2
0,0,1,69,0,80.75,1,0,False,False,False,True,2018,4,4,4,2
2,0,1,273,0,109.0,0,1,False,False,False,True,2017,7,17,2,2
2,0,1,55,0,104.0,0,0,False,False,True,False,2018,4,6,1,2
1,0,1,4,1,65.0,1,0,False,True,False,False,2018,11,1,3,1
1,0,4,97,0,140.4,0,0,False,False,False,True,2018,5,24,3,2
1,0,1,44,0,75.0,0,0,False,False,True,False,2018,2,17,3,2
0,0,1,31,0,94.5,0,1,False,False,False,True,2018,4,14,1,2
0,0,1,0,0,109.0,0,0,False,False,False,True,2018,6,5,1,2
1,0,1,62,0,105.0,2,0,False,False,False,True,2018,11,12,4,2
1,0,4,86,0,107.95,1,0,False,False,False,True,2018,4,17,4,2
0,0,1,197,0,85.5,1,0,False,False,False,True,2018,8,1,2,2
1,0,1,143,0,105.3,2,0,False,False,False,True,2018,7,12,2,2
1,0,4,8,0,156.0,0,1,False,False,False,True,2018,6,15,2,2
1,0,1,13,0,73.15,1,0,False,False,False,True,2018,11,16,2,1
1,0,1,280,0,110.0,0,1,False,False,False,True,2018,9,19,3,2
0,0,1,11,0,87.4,1,0,False,False,False,True,2017,9,13,1,3
0,0,1,185,0,79.2,0,1,False,False,False,True,2018,12,16,3,2
1,0,1,160,0,90.95,1,0,False,False,False,True,2018,6,30,4,2
1,0,1,104,0,91.48,1,0,False,False,False,True,2018,10,18,4,2
1,0,1,11,0,150.0,1,1,False,False,False,True,2018,11,5,1,3
0,0,1,2,0,89.0,0,0,False,False,False,True,2018,3,22,1,2
0,0,1,14,0,91.43,1,0,False,False,False,True,2018,8,17,5,2
1,0,1,22,0,140.0,0,0,False,False,True,False,2018,5,20,2,2
0,0,1,37,0,87.78,0,0,False,False,False,True,2017,10,24,7,2
2,0,1,292,0,115.0,0,1,False,False,False,True,2018,7,21,2,2
1,0,1,11,0,80.85,1,0,False,False,False,True,2017,9,9,3,2
1,0,1,86,0,82.45,1,0,False,False,False,True,2018,3,31,4,2
0,0,1,109,0,108.0,0,1,False,False,False,True,2018,10,11,1,2
1,0,4,72,0,96.3,1,0,False,False,False,True,2018,4,2,2,2
1,0,1,196,0,99.45,0,1,False,False,False,True,2018,8,22,6,2
1,0,4,56,0,140.4,1,0,False,False,False,True,2018,5,13,2,2
1,0,1,189,0,72.25,0,0,False,False,True,False,2018,8,8,4,2
1,0,4,126,0,126.0,0,0,False,False,False,True,2018,8,15,5,2
1,0,4,81,0,146.6,1,0,False,False,False,True,2018,11,6,4,1
1,0,1,54,0,118.8,0,1,False,False,False,True,2018,10,10,3,2
1,0,1,15,0,145.0,0,1,False,False,False,True,2018,10,6,1,1
1,0,1,86,0,84.58,0,1,False,False,False,True,2018,4,6,4,2
2,0,1,161,0,130.0,0,1,False,False,False,True,2018,3,25,3,2
1,0,1,92,0,101.52,0,0,False,False,True,False,2018,5,30,3,2
1,0,1,87,0,100.0,0,1,False,True,False,False,2017,9,11,1,2
1,0,1,109,0,58.0,0,0,False,False,True,False,2018,3,20,3,2
1,0,1,127,0,61.5,2,0,False,False,True,False,2018,3,23,4,2
0,0,1,156,0,87.3,1,0,False,False,False,True,2018,8,24,5,2
1,0,1,80,0,76.5,1,1,False,False,False,True,2017,7,16,2,2
0,0,1,211,0,63.75,0,1,False,False,False,True,2018,12,16,4,2
1,0,1,273,0,95.0,0,1,False,False,False,True,2018,5,13,3,2
1,0,1,58,0,75.0,1,0,False,False,True,False,2018,11,19,3,2
1,0,1,111,0,101.58,1,0,False,False,False,True,2018,5,2,4,2
1,0,1,34,0,85.0,0,0,False,False,True,False,2018,8,21,5,2
1,0,1,17,0,98.39,0,0,False,False,False,True,2018,12,3,6,2
1,0,1,6,0,106.07,1,0,False,False,False,True,2017,9,22,3,2
1,0,1,32,0,105.0,1,0,False,False,True,False,2018,7,18,2,2
1,0,1,4,0,145.0,2,0,False,False,False,True,2017,9,22,1,2
1,0,1,195,0,106.03,1,1,False,False,False,True,2018,8,13,3,3
1,0,1,119,0,114.3,1,0,False,False,False,True,2018,8,13,4,2
0,0,1,13,0,88.0,0,0,False,False,False,True,2018,12,5,2,1
1,0,1,59,0,89.25,2,0,False,False,False,True,2017,10,15,2,2
1,0,4,78,0,86.32,1,0,False,False,False,True,2018,3,20,7,3
1,0,1,103,0,55.96,0,0,False,False,False,True,2017,8,22,7,2
0,0,1,0,0,109.0,1,0,False,False,False,True,2018,6,8,2,1
1,0,1,118,0,86.0,0,0,False,False,True,False,2018,3,1,1,2
1,0,1,56,0,118.95,0,0,False,False,False,True,2018,9,5,6,2
1,0,1,107,0,130.0,1,0,False,False,True,False,2018,6,10,2,2
0,0,1,70,0,90.56,1,0,False,False,False,True,2018,4,14,4,2
1,0,1,76,0,87.3,1,0,False,False,False,True,2018,4,1,2,2
1,0,6,144,0,177.65,1,1,False,False,False,True,2018,5,27,4,4
1,0,1,15,0,127.0,1,0,False,False,False,True,2018,3,18,2,3
1,0,1,32,0,72.9,0,1,False,False,False,True,2018,2,5,3,1
1,0,4,49,0,159.3,0,1,False,False,False,True,2018,5,7,2,3
1,0,1,77,0,135.15,1,0,False,False,False,True,2018,5,12,4,3
1,0,1,22,0,90.0,0,0,False,False,True,False,2018,10,28,2,1
0,0,1,0,0,114.0,0,0,False,False,False,True,2017,10,18,1,2
1,1,1,58,0,125.1,1,0,False,False,False,True,2018,6,21,1,3
0,0,1,4,0,95.13,1,0,False,False,False,True,2017,8,14,8,2
1,0,5,117,0,105.84,0,1,False,False,False,True,2018,4,29,2,2
1,0,1,36,0,102.0,0,1,False,False,False,True,2018,12,26,4,2
0,0,1,35,0,74.8,2,0,False,False,False,True,2018,12,2,4,2
0,0,1,31,0,94.5,0,1,False,False,False,True,2018,4,24,1,2
0,0,1,79,0,120.6,0,0,False,False,False,True,2018,6,16,6,2
1,0,1,1,0,139.33,0,0,False,False,False,True,2017,10,9,3,2
1,0,1,21,0,105.0,0,0,False,False,False,True,2017,9,3,2,2
0,0,1,12,0,100.0,1,0,False,True,False,False,2018,9,14,2,2
1,0,1,33,0,80.3,1,0,False,False,False,True,2018,2,8,1,2
1,0,1,164,0,100.0,0,0,False,False,True,False,2017,10,2,2,1
1,1,1,78,0,105.3,1,0,False,False,False,True,2018,3,24,3,2
1,0,4,18,0,112.8,0,1,False,False,False,True,2018,5,31,4,2
1,0,1,21,0,151.0,0,1,False,False,False,True,2018,8,15,3,2
1,0,1,0,0,91.0,1,0,False,False,False,True,2017,11,9,4,1
1,0,4,152,0,146.7,1,1,False,False,False,True,2018,8,13,3,3
1,0,1,43,0,58.4,0,0,False,False,True,False,2017,10,2,5,2
0,0,1,177,0,80.75,1,1,False,False,False,True,2018,7,26,4,2
0,0,1,47,0,76.5,0,0,False,False,True,False,2018,5,21,2,2
1,0,4,57,0,140.13,0,0,False,False,False,True,2018,9,7,3,3
0,0,1,60,0,76.0,1,0,False,False,False,True,2017,11,15,6,2
2,0,1,102,0,101.5,0,1,False,False,False,True,2017,10,16,2,2
0,0,1,71,0,108.0,1,0,False,False,False,True,2018,10,18,3,2
1,0,4,1,0,166.0,3,0,False,False,False,True,2018,6,11,2,3
0,0,1,4,0,67.5,0,0,False,False,False,True,2018,1,16,2,2
1,0,4,25,0,78.54,1,0,False,False,False,True,2017,9,14,4,2
1,0,1,209,0,152.1,1,1,False,False,False,True,2018,11,6,4,1
1,0,1,93,0,115.0,0,1,False,False,False,True,2018,10,15,3,1
0,0,1,53,0,66.53,2,0,False,False,False,True,2017,9,2,7,2
1,0,1,122,0,85.0,0,0,False,False,True,False,2018,4,15,2,2
1,0,1,16,0,75.0,0,0,False,True,False,False,2018,3,11,1,1
1,0,1,28,0,115.37,1,1,False,False,False,True,2018,8,28,6,2
2,0,1,161,0,130.0,0,1,False,False,False,True,2018,3,25,3,2
1,0,4,57,0,126.0,2,0,False,False,False,True,2018,12,9,2,3
1,0,1,19,0,94.35,1,0,False,False,False,True,2018,6,12,1,2
1,0,4,109,0,118.46,4,0,False,False,False,True,2018,7,6,6,3
2,0,1,239,0,90.6,0,1,False,False,False,True,2018,6,15,2,1
1,0,1,33,0,82.9,2,0,False,False,False,True,2018,3,5,3,1
1,0,1,11,0,95.33,1,0,False,False,False,True,2017,8,18,3,2
1,0,4,40,0,135.64,1,0,False,False,False,True,2018,4,21,7,3
1,0,4,45,0,122.4,0,0,False,False,True,False,2018,6,18,2,3
0,0,1,41,0,116.1,0,1,False,False,False,True,2018,5,9,4,2
0,0,1,167,0,62.18,0,1,False,False,False,True,2018,6,28,4,2
0,0,1,62,0,63.75,0,1,False,False,False,True,2018,3,9,4,2
1,0,1,113,0,118.8,0,1,False,False,False,True,2018,9,7,5,1
0,1,1,1,0,167.0,0,0,False,False,False,True,2018,8,10,2,2
1,0,1,245,0,128.7,0,1,False,False,False,True,2018,10,28,3,3
1,0,1,80,0,80.33,1,0,False,False,False,True,2018,3,17,4,2
1,0,1,7,0,140.0,1,1,False,False,False,True,2018,8,22,2,2
1,0,1,128,0,76.5,2,0,False,False,False,True,2017,8,8,2,3
1,0,1,100,0,105.3,1,0,False,False,False,True,2018,5,1,3,2
1,0,1,118,0,87.3,1,1,False,False,False,True,2018,4,3,3,2
1,0,1,166,0,110.0,0,1,False,False,False,True,2018,11,1,3,1
2,0,1,41,0,83.0,0,0,False,False,True,False,2017,9,4,1,1
1,0,1,174,0,99.45,1,0,False,False,False,True,2018,8,13,4,2
2,0,1,27,0,104.5,3,0,False,False,True,False,2017,12,27,3,3
1,0,1,2,0,92.54,2,0,False,False,False,True,2018,11,16,8,2
1,0,1,37,0,95.0,0,0,False,False,True,False,2018,10,13,3,1
1,0,1,188,0,130.0,0,1,False,False,False,True,2018,6,15,2,1
1,0,1,68,1,63.0,1,0,False,False,True,False,2018,1,2,3,2
1,0,4,189,0,109.8,0,1,False,False,False,True,2018,10,28,3,2
1,0,1,10,0,103.0,0,0,False,False,False,True,2018,5,16,1,2
1,0,4,19,0,130.0,1,0,False,False,False,True,2018,2,20,3,3
1,0,1,61,0,117.0,0,1,False,False,False,True,2018,3,23,2,2
1,0,4,95,0,60.5,0,0,False,False,True,False,2017,12,29,4,2
2,0,1,83,0,112.2,0,0,False,False,True,False,2017,9,30,1,2
1,0,1,37,0,135.9,0,1,False,False,False,True,2018,8,1,4,2
1,0,1,19,0,151.0,1,1,False,False,False,True,2018,7,25,1,2
1,0,1,22,0,59.09,0,0,False,False,False,True,2017,12,26,3,2
1,0,1,151,0,103.09,0,1,False,False,False,True,2018,7,9,7,2
1,0,1,26,0,87.0,0,0,False,False,True,False,2018,2,28,3,2
1,0,4,27,0,137.0,0,1,False,False,False,True,2018,4,17,1,3
2,0,1,79,0,109.0,0,0,False,False,True,False,2018,6,24,2,2
2,0,1,247,0,115.0,1,1,False,False,False,True,2018,6,6,2,2
1,0,4,189,0,99.45,1,0,False,False,False,True,2018,7,17,5,2
1,0,4,27,0,130.0,2,0,False,False,False,True,2018,2,22,3,3
1,0,1,51,1,65.0,0,0,False,True,False,False,2018,5,22,1,1
1,0,1,245,0,75.0,0,1,False,False,False,True,2018,6,17,2,2
1,0,1,52,0,132.9,0,1,False,False,False,True,2018,7,8,3,3
1,0,1,13,0,120.0,0,0,False,False,False,True,2017,10,18,2,1
0,0,1,46,0,79.2,1,1,False,False,False,True,2018,11,11,2,2
1,0,4,84,0,159.3,0,1,False,False,False,True,2018,8,28,3,3
1,0,1,188,0,130.0,0,1,False,False,False,True,2018,6,15,2,1
1,0,1,19,1,90.0,0,0,False,False,True,False,2017,10,6,3,2
1,0,4,67,0,140.4,1,0,False,False,False,True,2018,5,27,2,2
1,0,1,0,0,75.0,0,0,False,False,False,True,2017,8,11,1,2
2,0,1,273,0,109.0,0,1,False,False,False,True,2017,7,17,2,2
2,0,1,110,0,94.5,0,1,False,False,False,True,2017,7,25,3,2
1,0,1,0,1,75.0,0,0,False,True,False,False,2017,12,15,1,1
1,0,4,32,0,75.0,1,0,False,False,True,False,2017,10,23,3,2
1,0,1,282,0,76.67,0,0,False,False,True,False,2017,10,10,3,2
1,0,1,38,0,126.0,0,0,False,False,False,True,2018,10,2,4,2
0,0,1,175,0,85.5,1,0,False,False,False,True,2018,7,23,2,2
1,0,4,143,0,140.7,0,1,False,False,False,True,2018,8,18,3,2
1,0,4,127,0,103.7,1,0,False,False,False,True,2018,6,26,4,2
1,0,1,0,0,142.0,0,0,False,False,False,True,2017,9,8,1,1
1,0,1,95,0,103.7,3,0,False,False,False,True,2018,12,21,7,3
1,0,1,118,0,110.0,0,0,False,False,True,False,2018,6,6,3,1
1,0,1,45,0,75.0,0,0,False,False,True,False,2018,11,10,3,2
1,0,4,69,0,137.7,0,0,False,False,False,True,2018,7,25,2,3
0,0,1,57,0,87.3,3,0,False,False,False,True,2018,9,7,1,2
2,0,1,39,0,101.5,0,0,False,False,True,False,2017,8,14,2,2
1,0,1,0,0,97.0,1,0,False,False,False,True,2018,2,24,1,2
1,0,4,89,0,150.3,1,0,False,False,False,True,2018,8,15,2,3
1,0,1,85,0,82.45,0,0,False,False,False,True,2018,3,29,4,2
1,1,4,4,1,103.0,1,0,False,True,False,False,2018,7,1,1,1
1,0,1,11,0,145.0,0,1,False,False,False,True,2018,7,5,8,1
1,0,1,12,0,145.0,1,0,False,False,False,True,2018,7,11,2,1
1,0,4,77,0,134.85,1,0,False,False,False,True,2018,5,14,4,2
1,0,6,14,0,168.25,1,0,False,False,False,True,2018,10,22,2,3
1,0,1,1,0,60.0,0,1,False,False,False,True,2018,2,28,3,1
1,0,1,133,0,76.0,0,0,False,False,True,False,2018,6,13,4,2
1,0,1,3,0,63.5,1,0,False,False,True,False,2017,8,10,3,2
1,0,1,19,0,95.0,0,0,False,False,True,False,2018,9,18,2,2
1,0,4,86,0,90.95,3,0,False,False,True,False,2018,9,3,4,2
1,0,1,23,0,98.4,2,0,False,False,False,True,2017,10,16,2,2
1,0,1,65,0,135.9,1,0,False,False,False,True,2018,9,22,1,2
1,0,4,1,0,130.0,1,0,False,False,False,True,2018,11,16,2,2
1,0,4,66,0,81.9,2,0,False,False,False,True,2017,11,19,1,2
1,0,1,50,0,78.85,1,0,False,False,False,True,2018,2,22,5,3
2,0,1,87,0,141.3,0,1,False,False,False,True,2018,6,26,5,2
1,0,1,159,0,70.0,1,0,False,False,True,False,2018,4,9,2,2
2,0,1,39,0,170.1,2,0,False,False,False,True,2018,8,13,5,2
1,0,4,102,0,82.45,0,0,False,False,True,False,2018,7,10,4,2
1,0,1,36,0,68.07,1,0,False,False,False,True,2018,12,10,8,2
1,0,1,50,0,118.8,1,0,False,False,False,True,2018,10,4,3,2
1,0,4,115,0,104.4,0,1,False,False,False,True,2018,10,27,2,2
1,0,1,0,1,65.0,0,0,False,True,False,False,2018,3,23,1,1
0,0,1,35,0,71.1,0,1,False,False,False,True,2018,3,3,4,2
1,0,1,17,0,95.0,0,0,False,False,True,False,2018,5,21,3,2
1,0,1,125,0,136.0,2,0,False,False,False,True,2018,9,7,4,2
1,0,6,32,0,147.9,0,1,False,False,False,True,2018,12,2,4,4
0,0,1,5,0,123.7,0,0,False,False,True,False,2018,9,18,2,2
1,0,1,91,0,135.9,0,1,False,False,False,True,2018,6,19,3,2
2,0,1,102,0,109.0,0,0,False,False,True,False,2017,10,16,2,2
1,0,4,155,0,115.6,1,1,False,False,False,True,2018,12,26,4,3
1,0,1,11,0,65.0,0,0,False,True,False,False,2017,9,15,3,1
1,0,1,0,0,80.0,0,0,False,True,False,False,2018,2,19,1,1
1,0,1,86,0,73.83,0,0,False,False,True,False,2018,3,23,5,3
1,1,1,18,1,67.0,0,0,False,True,False,False,2018,10,18,1,1
1,0,1,58,0,80.3,1,0,False,False,False,True,2018,3,4,2,2
0,0,1,54,0,85.0,0,0,False,False,True,False,2018,4,30,3,2
1,0,1,25,0,152.1,1,1,False,False,False,True,2018,7,23,5,3
1,0,1,107,0,89.25,1,0,False,False,False,True,2017,9,9,2,2
2,0,1,100,0,110.0,0,0,False,False,True,False,2018,9,28,4,1
1,0,1,273,0,95.0,0,1,False,False,False,True,2018,5,13,3,2
0,0,1,29,0,79.0,0,0,False,False,False,True,2018,3,18,1,2
1,0,1,221,0,80.0,0,1,False,False,False,True,2018,8,12,1,2
1,0,1,213,0,102.85,2,1,False,False,False,True,2018,10,1,4,2
1,0,1,198,0,90.0,0,1,False,False,False,True,2018,9,9,3,2
1,0,2,81,0,62.37,2,0,False,False,False,True,2018,1,29,3,2
0,0,1,23,0,98.0,0,0,False,False,False,True,2018,4,8,1,2
1,0,1,26,0,117.67,1,1,False,False,False,True,2017,9,17,3,2
1,0,1,20,0,141.0,1,0,False,False,False,True,2018,6,18,3,2
1,0,6,124,0,156.61,2,1,False,False,False,True,2018,12,26,4,3
1,0,4,85,0,152.1,0,1,False,False,False,True,2018,8,3,3,3
1,0,1,167,0,105.3,0,1,False,False,False,True,2018,8,6,1,2
1,0,1,71,0,119.85,1,0,False,False,False,True,2018,5,30,4,2
